"","occupation_code","n"
"1","",558
"2","00010",1
"3","00011",16
"4","00012",15
"5","00013",15
"6","00014",7
"7","00015",13
"8","10010",19
"9","10011",3
"10","10012",3
"11","10019",13
"12","10020",5
"13","10021",7
"14","10022",14
"15","10029",2
"16","10030",1
"17","11100",14
"18","11101",2
"19","11102",4
"20","11103",1
"21","11200",10
"22","11201",6
"23","11202",10
"24","12010",6
"25","12011",1
"26","12013",6
"27","12100",5
"28","12101",3
"29","12102",2
"30","12104",1
"31","12111",1
"32","12112",1
"33","12113",2
"34","12203",1
"35","13100",17
"36","13101",3
"37","13110",17
"38","13111",1
"39","13112",2
"40","13201",1
"41","14100",9
"42","14101",8
"43","14103",1
"44","14200",4
"45","14201",1
"46","14300",1
"47","14301",1
"48","14401",4
"49","14404",3
"50","20010",5
"51","20011",2
"52","20012",13
"53","21100",1
"54","21101",3
"55","21110",2
"56","21200",1
"57","21202",1
"58","21211",4
"59","21220",1
"60","21221",7
"61","21222",6
"62","21223",1
"63","21231",7
"64","21232",1
"65","21233",1
"66","21234",1
"67","21300",1
"68","21301",3
"69","21310",2
"70","21311",1
"71","21321",1
"72","21332",1
"73","22100",1
"74","22101",1
"75","22110",1
"76","22114",1
"77","22212",2
"78","22220",1
"79","22221",2
"80","22300",1
"81","22301",1
"82","22302",1
"83","22310",1
"84","22311",1
"85","22312",1
"86","31102",1
"87","31103",2
"88","31120",3
"89","31200",1
"90","31202",1
"91","31203",2
"92","31300",4
"93","31301",12
"94","32100",1
"95","32101",2
"96","32102",1
"97","32103",3
"98","32109",1
"99","32120",2
"100","32121",1
"101","33101",1
"102","33102",2
"103","33103",1
"104","33109",1
"105","40010",5
"106","40011",1
"107","40019",1
"108","40021",2
"109","40040",1
"110","40042",1
"111","41100",1
"112","41101",4
"113","41200",4
"114","41210",11
"115","41220",10
"116","41221",11
"117","41300",6
"118","41301",1
"119","41320",1
"120","41321",1
"121","41400",2
"122","41401",1
"123","41402",3
"124","41404",1
"125","41405",2
"126","41406",2
"127","41407",1
"128","42200",2
"129","42201",4
"130","42202",4
"131","42203",1
"132","43100",3
"133","43201",1
"134","44101",1
"135","50010",1
"136","51100",2
"137","51111",1
"138","51112",1
"139","51113",1
"140","51114",2
"141","51120",1
"142","51122",1
"143","52100",1
"144","52111",1
"145","52114",1
"146","52120",2
"147","53110",1
"148","53122",1
"149","54100",1
"150","60010",2
"151","60020",15
"152","60040",1
"153","62010",6
"154","62021",2
"155","62023",3
"156","62024",4
"157","62100",2
"158","62200",2
"159","63100",2
"160","63102",1
"161","63200",2
"162","63202",2
"163","64100",7
"164","64101",1
"165","64310",1
"166","64311",4
"167","64312",1
"168","64313",1
"169","64400",1
"170","64409",1
"171","64410",1
"172","65100",2
"173","65102",1
"174","65202",1
"175","65210",1
"176","65310",1
"177","70010",5
"178","70012",3
"179","70020",1
"180","72010",2
"181","72011",1
"182","72013",2
"183","72014",1
"184","72020",1
"185","72021",2
"186","72104",1
"187","72202",1
"188","72203",1
"189","72300",1
"190","72310",2
"191","72311",1
"192","72400",3
"193","72410",1
"194","72411",1
"195","72423",1
"196","73201",1
"197","73300",5
"198","74101",2
"199","74102",1
"200","74202",1
"201","74205",1
"202","75101",3
"203","75110",4
"204","75212",1
"205","80020",1
"206","83121",1
"207","84100",1
"208","85102",1
"209","90010",2
"210","94140",1
"211","95109",2
